Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
162,"If 3 less than twice a certain number is equal to 2 more than 3 times the number, then 5 less than 5 times the number is",-30,-20,-5,0,-30,GRE,Easy
163,"g(x) = x2 - 4 and g(c) = 12. If c < 0, what is g(c - 2)?",31,30,32,33,32,GRE,Easy
164,"If Mary has half as many cents as Nora has dollars, then Nora has what percent more cents than Mary does? (100cents = 1 dollar)",100%,200%,1990%,19900%,19900%,GRE,Easy
165,The number that is 50% greater than 60 is what percent less than the number that is 20% less than 150?,10,15,25,20,25,GRE,Easy
166,A computer that was discounted by 15% sold for $612. What was the price of the computer before the discount?,$721.00 ,$720.00 ,$725.00 ,$650.00 ,$720.00 ,GRE,Easy
167,"New cars leave a car factory in a repeating pattern of red, blue, black, and gray cars. If the first car to exit the factory was red, what color is the 463rd car to exit the factory?",red,blue,cannot be determined,black,black,GRE,Easy
168,Jason deposits money at a bank on a Tuesday and returns to the bank 100 days later to withdraw the money. On what day of the week did Jason withdraw the money from the bank?,Monday,Tuesday,Thursday,Friday,Thursday,GRE,Easy
169,"x and h are both positive integers. When x is divided by 7, the quotient is h with a remainder of 3. Which of the following could be the value of x?",50,52,45,46,52,GRE,Easy
170,A man travels for 6 hours at a rate of 50 miles per hour. His return trip takes him 7 2 1 hours. What is his average speed for the whole trip?,44.4,45,46.8,48.2,44.4,GRE,Easy
171,"Last season, Arjun�s tennis record was 3 matches won for every 2 he lost. If he played 30 matches last season, how many did he win?",10,12,18,20,18,GRE,Easy
172,The average of x and y is 55. The average of y and z is 75. Quantity A =z-x Quantity B=40,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Easy
173,"Paco�s practice test scores are 650, 700, 630 and 640. What score on the 5th test would result in an average score of 660 for all 5 tests?",680,682,690,720,680,GRE,Easy
174,A number is randomly chosen from a list of 10 consecutive positive integers. What is the probability that the number is greater than the mean?,10-Mar,5-Feb,2-Jan,10-Jul,2-Jan,GRE,Easy
175,"A restaurant menu has several options for tacos. There are 3 types of shells, 4 types of meat, 3 types of cheese, and 5 types of salsa. How many distinct tacos can be ordered assuming that any order contains exactly one of each of the above choices?",185,404,180,1024,180,GRE,Easy
176,Quantity A =The area of a rectangle with perimeter 40 Quantity B= 110,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Easy
177,Isosceles triangle ABC has two sides with lengths 2 and 11. Quantity A =The length of the third side Quantity B= 11,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Easy
178,"What is the equation of the line that passes through (-1, -3) and has a slope of -2?",y=-2x-1,y=-2x-2,y=-2x-5,y=-4x-2,y=-2x-2,GRE,Easy
179,"The center of a circle is (5, -2). (5, 7) is outside the circle, and (1, -2) is inside the circle. If the radius, r, is an integer, how many possible values are there for r?",4,5,6,7,4,GRE,Easy
180,"In Europe, football, otherwise known as soccer, it the most popular sport by several orders of magnitude, whereas in America, fandom is fairly evenly __________ among a few different sports.",regarded,inspired,measured,apportioned,apportioned,GRE,Easy
181,"The astrophysicist argues that our books and films about interstellar space travel are a form of mass _________, and that only a miracle on a scale heretofore unseen could allow a human being to voyage to even the closest star in another solar system.",innovation,delusion,dementia,catastrophe,delusion,GRE,Easy
182,"On an aptitude test in 1986, an argument posited that the possibility of conducting banking transactions from home was as likely as flying cars, an argument that today sounds ___________.",prescient,paradoxical,preposterous,pithy,preposterous,GRE,Easy
183,"Napoleon is of course most famous for his military triumphs, but his innovative code of law had a subtler but more _____ impact, as its principles strongly influenced legal codes well into the 20th century.",renowned,enduring,fleeting,insidious,enduring,GRE,Easy
184,"Many ___________ people feared for the life of Ronald Reagan because since 1840, every president elected in a year ending in zero had died in office.",knowledgeable,mathematical,superstitious,addled,superstitious,GRE,Easy
185,"Every generation is accused of slacking by the preceding ones, before in turn calling their own progeny lackadaisical; such is the _________ of life.",irony,circle,comedy,amusing,circle,GRE,Easy
186,"Although retired, the professor takes pains to remain _________ the latest developments in her field.",abreast of,akimbo to,obtuse to,subservient to,abreast of,GRE,Easy
187,"While the colonists would eventually push westward, first, they were in for a long, difficult winter, and the main challenge was to _________ their existing resources.",steward,upend,procure,sell,steward,GRE,Easy
188,"James Joyce, the author of many novels, including Lady Chatterley�s Lover, saw deeply into the hearts of his characters, but, in a life irony as subtle yet piercing as those endured by his characters, he himself could barely _________ text well enough to proof his own galleys.",see,feel,walk,move,see,GRE,Easy
189,"Emblematic of the slaughter of the First World War, 60,000 British soldiers died for naught on the first day of the battle of the Somme, literally consumed into a stew of blood and _________.",grief,gore,steel,bullets,gore,GRE,Easy
190,"Forty years ago, anthropologists firmly believed that Neanderthals and modern homo sapiens never mated, but advances in genetic testing proved that incorrect � such is the _________ nature of science.",fallacious,advancing,vacillating,counter,advancing,GRE,Easy
191,The daily routine of responding to lobbyists and exchanging polemics with intransigent political opponents seemed at odds with the president�s _________ tendencies.,quixotic,contentious,tenacious,altruistic,quixotic,GRE,Easy
192,A field trip was arranged so that this troupe of _________ dancers could observe the real masters of their art.,novice,lithe,torpid,expert,novice,GRE,Easy
193,"The exhibit is not so much a retrospective as a _________; the artist�s weaker early work is glossed over, and any evidence of his ultimate dissolution is absent entirely.",tirade,panacea,crescendo,eulogy,eulogy,GRE,Easy
194,"After a long, hard practice in the summer sun, the players were visibly _________.",hale,vigorous,enervated,lissome,enervated,GRE,Easy
195,"While he says that he did not mean to kill, some feel that his actions are _________ murder.",superseded by,on par with,an homage to,an accrual of,on par with,GRE,Easy
196,"For most of the 20th century, American political contentions reflected pragmatic rather than ideological differences; candidate debates centered around whether programs were _________.",voluble,partisan,feasible,innocuous,feasible,GRE,Easy
197,"According to Mercy Amba Oduyoye in Daughters of Anowa: African Women and Patriarchy, the women of the Asante people of Ghana participated in war as nurses or in providing supplies, but only those who had not yet reached or who were past childbearing age. If such women died in battle, they died �as individuals and not as potential sources of human life.� As such, many old women engaged in valiant acts, sometimes sacrificing their own lives, to defend those they had given life to. 1.Which of the following can be inferred from the passage?",The deaths of Asante women of childbearing age were lamented more than were the deaths of other women.,Older Asante women were more courageous than younger Asante women.,Some of those who worked as nurses or in providing supplies died in battle.,Men could not be considered �potential sources of human life.�,Some of those who worked as nurses or in providing supplies died in battle.,GRE,Easy
198,"A supernova is a brief stellar explosion so luminous that it can briefly outshine an entire galaxy. While the explosion itself takes less than fifteen seconds, supernovae take weeks or months to fade from view; during that time, a supernova can emit an amount of energy equivalent to the amount of energy the sun is expected to radiate over its entire lifespan. Supernovae generate enough heat to create heavy elements, such as mercury, gold, and silver. Although supernovae explode frequently, few of them are visible (from Earth) to the naked eye. In 1604 in Padua, Italy, a supernova became visible, appearing as a star so bright that it was visible in daylight for more than a year. Galileo, who lectured at the university, gave several lectures widely attended by the public. The lectures not only sought to explain the origin of the �star� (some posited that perhaps it was merely �vapour near the earth�), but seriously undermined the views of many philosophers that the heavens were unchangeable. This idea was foundational to a worldview underpinned by a central and all-important Earth, with celestial bodies merely rotating around it. 1)The primary purpose of the passage is to",give the history of supernovae,describe a shift in thought as a result of a natural event,juxtapose two opposing views about supernovae,corroborate the view that the earth is not central to the universe,describe a shift in thought as a result of a natural event,GRE,Easy
199,"A supernova is a brief stellar explosion so luminous that it can briefly outshine an entire galaxy. While the explosion itself takes less than fifteen seconds, supernovae take weeks or months to fade from view; during that time, a supernova can emit an amount of energy equivalent to the amount of energy the sun is expected to radiate over its entire lifespan. Supernovae generate enough heat to create heavy elements, such as mercury, gold, and silver. Although supernovae explode frequently, few of them are visible (from Earth) to the naked eye. In 1604 in Padua, Italy, a supernova became visible, appearing as a star so bright that it was visible in daylight for more than a year. Galileo, who lectured at the university, gave several lectures widely attended by the public. The lectures not only sought to explain the origin of the �star� (some posited that perhaps it was merely �vapour near the earth�), but seriously undermined the views of many philosophers that the heavens were unchangeable. This idea was foundational to a worldview underpinned by a central and all-important Earth, with celestial bodies merely rotating around it. 2)Which of the following can be inferred by the passage?",Supernovae can take over a year to fade from view.,"Prior to 1604, no one had ever seen a supernova.",Galileo convinced philosophers of the incorrectness of their views.,explain how science and philosophy interrelate,Supernovae can take over a year to fade from view.,GRE,Easy
200,"If a line has slope -2 and passes through the points (4, 9) and (6, y), what is the value of y?",5,6,7,8,5,GRE,Easy
201,"In the xy coordinate plane, lines l1 and l2 intersect at (2, 4). If the equation of l1 is y = px + 16 and the equation of l2 is y = mx + p, where m and p are constants, what is the value of m?",8,11,12,5,5,GRE,Medium
202,Five students in a classroom are lining up one behind the other for recess. How many different lines are possible?,5,10,120,130,120,GRE,Medium
203,"An Italian restaurant boasts 320 distinct pasta dishes. Each dish contains exactly one pasta, one meat, and one sauce. If there are 8 pastas and 4 meats available, how many sauces are there to choose from?",15,10,20,25,10,GRE,Medium
204,pq ? 0 Quantity A= (p + q)3 Quantity B=p3+ q3,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Medium
205,"A 10-student class is to choose a president, vice president, and secretary from the group. Assuming that no person can occupy more than one post, in how many ways can this be accomplished?",710,720,730,740,720,GRE,Medium
206,"a is 60% of b, b is 40% of c, and c is 20% of d, then 6d is what percent of 20a?",625,650,675,700,625,GRE,Medium
207,"A man exchanged a dollar bill for change and received 7 coins, none of which were half dollars. How many of these coins were dimes?",1,4,5,Cannot be determined,Cannot be determined,GRE,Medium
208,"25 employees donated a total of $450 to charity. If 15 employees donated at least $12 and 9 employees donated at least $19, what is the maximum amount, in dollars, that the last employee could have donated?",101,100,99,98,99,GRE,Medium
209,"Two identical pies are cut into a total of 16 equal parts. If each part is then split equally among three people, what fraction of a pie does each person receive?",Jan-48,24-Jan,16-Jan,16-Mar,24-Jan,GRE,Medium
210,"A cockroach population doubles every three days. If there were c cockroaches on June 1st, what was the percent increase in the population on July 1st? (June has 30 days.)",900%,1000%,9999%,102300%,102300%,GRE,Medium
211,"In a certain town, of the total population is employed. Among the unemployed population, the ratio of males to females is 5 : 7. If there are 40,000 employed people in the town, how many females are unemployed?",16000,25000,35000,65000,35000,GRE,Medium
212,"Fiber X Cereal is 55% fiber. Fiber Max Cereal is 70% fiber. Sheldon combines an amount of the two cereals in a single bowl of mixed cereal that is 65% fiber. If the bowl contains 12 ounces of cereal, how much of the cereal, in ounces, is Fiber X?",3,4,6,8,4,GRE,Medium
213,Sector A and Sector B are sectors of two different circles. Sector A has a radius of 4 and a central angle of 90�. Sector B has a radius of 6 and a central angle of 45�. Quantity A =The area of Sector A Quantity B= The area of Sector B,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Medium
214,"In the coordinate plane, lines j and k are parallel. The x-intercept of line j is greater than that of line k and the product of their slopes is positive. Quantity A=The y-intercept of line j Quantity B= The y-intercept of line k",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Medium
215,"In the coordinate plane, points (a, b) and (c, d) are equidistant from the origin. |a| > |c| Quantity A = |b| Quantity B=|d|",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Medium
216,"Lines k and p are perpendicular, neither is vertical, and p passes through the origin. Quantity A = The product of the slopes of lines k and p Quantity B=The product of the y-intercepts of lines k and p",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Medium
217,"A set of 7 integers has a range of 2, an average of 3, and a mode of 3. Quantity A= The third number in the set when the numbers are arranged in ascending order . Quantity B=The fifth number in the set when the numbers are arranged in ascending order",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,,GRE,Medium
218,"Sn = 3n + 3 Sequence S is defined for all integers n such that 0 < n < 10,000 Quantity A=The median of sequence S Quantity B=The mean of sequence S",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Medium
219,"Quantity A =The number of distinct prime factors of 100,000 Quantity B= The number of distinct prime factors of 99,000",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Quantity B is greater,GRE,Medium
220,A parallelogram has two sides with length 10 and two sides with length 5. Quantity A =The area of the parallelogram Quantity B=30,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Medium
221,"After the US Civil War, �carpetbaggers��so-called because they carried suitcases made of inexpensive carpeting material� _________ the South, hoping to turn a quick profit.",inundated,vanquished,blacklisted,berated,inundated,GRE,Medium
222,December�s earthquake was but a _________ to a terrible year for a small island nation recently wracked by civil strife and devastating tropical storms.,prologue,catharsis,coda,homily,coda,GRE,Medium
223,"After many years of war and bloodshed, some became _________ suffering, casting a blind eye to scenes of misery around them.",exempted from,dominant over,maudlin over,inured to,inured to,GRE,Medium
224,"After a brief initial struggle over power, the group elected a leader and _________ into a surprisingly harmonious team.",fractured,coalesced,amortized,syncopated,coalesced,GRE,Medium
225,"The director inserted deliberate _________ into the play�for example, Hamlet typed his letters to Ophelia on a laptop.",platitudes,paradigms,neologisms,anachronisms,anachronisms,GRE,Medium
226,The ancient tablet presents a true _________: none have been able to decode it.,stanza,gem,incentive,enigma,enigma,GRE,Medium
227,"Just as reminiscences of a childhood spent in rural Mexico color the poet�s work, so too does the experience of war _________ her poetry.",mimic,inform,invalidate,defer,inform,GRE,Medium
228,"During the German occupation of France, the draconian measures of the occupiers met armed resistance from civilian _________, inspired by desperate conditions to fight in their own streets.",writers,fighters,politicians,mercenaries,fighters,GRE,Medium
229,Representative government arose in part from dissatisfaction with too many monarchs making _________ decisions without regard for precedents.,considered,malicious,erratic,pessimistic,erratic,GRE,Medium
230,"Because the Lewis and Clark expedition through the West was conceived primarily as a mapping project, government officials were _________ by the wealth of information on a myriad of topics that the explorers gathered.",flabbergasted,crushed,bored,aggravated,flabbergasted,GRE,Medium
231,Only by ignoring Afghanistan�s long history as a military quagmire could pundits pontificate that fresh infusions of men and material would lead to _________ victory.,pyrrhic,swift,ephemeral,fleeting,swift,GRE,Medium
232,"Geneticists find Iceland a living laboratory for the study of _________ because virtually all of its current 300,000 citizens descend from less than a thousand Icelanders who survived the medieval Black Death.",diversity,therapy,history,revivification,diversity,GRE,Medium
233,"Given the influx of information via social media, the only way that a person can function effectively is to _________, to metaphorically separate the wheat from the chaff.",delete,triage,respond,requite,triage,GRE,Medium
234,"In the 19th century, Thomas Carlyle called economics �the dismal science,� in part because of Malthus�s theory that population growth would outpace our natural resources, causing widespread _________.",dearth,rapture,debauchery,pulchritude,dearth,GRE,Medium
235,"In uncertain times, _________ theories often gain greater and faster adherence among the populace than proven ones do.",assayed,irrefutable,putative,corroborated,putative,GRE,Medium
236,"While the legend of Custer�s last stand is commonly accepted and oft cited as an example of fortitude in the face of adversity, recent studies of the remains indicate that, _________, many soldiers chose suicide rather than risk capture by the Sioux.",risibly,tragically,amusingly,remarkably,remarkably,GRE,Medium
237,"In the early 1920�s, Paul Cassirer, a Berlin art dealer, was famous not only for his clients, such as Renoir, but also for _________ a credulous art world by correctly exposing several purported Van Gogh works as forgeries.",apprising,deluding,indicting,misleading,apprising,GRE,Medium
238,"Henri Matisse�s The Ochre Head represents the artist�s exuberant display of his new mastery of a technique once peculiar to Picasso. Matisse has learned to artfully separate color and drawing. The painting depicts a head and shoulders, a bouquet of red flowers in a dark blue vase sitting upon a bench, a framed drawing of a woman�s head, and an unframed 5 painting or drawing, also of a woman. But what is most striking about the painting is the way Matisse has begun to allow his colors and his forms to play freely, even while they are coordinated. The ochre of the head runs out past the form. Bits of blue from the bench appear in the man�s neckline or along his shoulder. The colors of the various frames and surfaces of the drawing on the wall overlap and refuse to be constrained by definite lines of form. Although 10 this technique is not given the kind of free reign Picasso allows it in his Cubist period or in works such as Minotaur, it is still a stunning development for Matisse. And he seems aware of this fact. The painting�s composition references Picasso�s Still Life with Ancient Head from 1925, signaling Matisse�s awareness that he is borrowing from his younger colleague. 40. The author uses the word peculiar to mean which of the following?",strange,abstract,unique,unknown,unique,GRE,Medium
239,"Henri Matisse�s The Ochre Head represents the artist�s exuberant display of his new mastery of a technique once peculiar to Picasso. Matisse has learned to artfully separate color and drawing. The painting depicts a head and shoulders, a bouquet of red flowers in a dark blue vase sitting upon a bench, a framed drawing of a woman�s head, and an unframed 5 painting or drawing, also of a woman. But what is most striking about the painting is the way Matisse has begun to allow his colors and his forms to play freely, even while they are coordinated. The ochre of the head runs out past the form. Bits of blue from the bench appear in the man�s neckline or along his shoulder. The colors of the various frames and surfaces of the drawing on the wall overlap and refuse to be constrained by definite lines of form. Although 10 this technique is not given the kind of free reign Picasso allows it in his Cubist period or in works such as Minotaur, it is still a stunning development for Matisse. And he seems aware of this fact. The painting�s composition references Picasso�s Still Life with Ancient Head from 1925, signaling Matisse�s awareness that he is borrowing from his younger colleague. 3)According to the passage, all of the following are true of The Ochre Head EXCEPT:",The artist did not color between the lines.,It depicts household objects.,It is considered among the best of Matisse�s work.,Its arrangement is similar to that of a piece by Picasso.,It is considered among the best of Matisse�s work.,GRE,Medium
240,"Henri Matisse�s The Ochre Head represents the artist�s exuberant display of his new mastery of a technique once peculiar to Picasso. Matisse has learned to artfully separate color and drawing. The painting depicts a head and shoulders, a bouquet of red flowers in a dark blue vase sitting upon a bench, a framed drawing of a woman�s head, and an unframed painting or drawing, also of a woman. But what is most striking about the painting is the way Matisse has begun to allow his colors and his forms to play freely, even while they are coordinated. The ochre of the head runs out past the form. Bits of blue from the bench appear in the man�s neckline or along his shoulder. The colors of the various frames and surfaces of the drawing on the wall overlap and refuse to be constrained by definite lines of form. Although this technique is not given the kind of free reign Picasso allows it in his Cubist period or in works such as Minotaur, it is still a stunning development for Matisse. And he seems aware of this fact. The painting�s composition references Picasso�s Still Life with Ancient Head from 1925, signaling Matisse�s awareness that he is borrowing from his younger colleague. 2)The main idea of the passage is to",describe an artistic work and its inspiration,describe how Matisse surpassed Picasso,describe how Matisse developed his style,describe a representative example of Matisse�s work,describe an artistic work and its inspiration,GRE,Medium
241,"If x < y and 0 < x + y, which of the following must be negative?",(-x),(-y),2x+y,2x-y,(-y),GRE,Hard
242,"Mr. Adams had a coin collection including only nickels, dimes, and quarters. He had twice as many dimes as he had nickels, and half as many quarters as he had nickels. If the total face value of his collection was $300.00, how many quarters did the collection contain?",75,100,250,400,400,GRE,Hard
243,x = |y| Quantity A = |x| Quantity B= y,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Hard
244,"Melinda and Shirley worked together to make hamburger patties. Shirley worked for 1 hour and 45 minutes, Melinda worked for 45 minutes, and they split their earnings according to the amount of time each spent working. Melinda�s hourly rate, however, is twice that of Shirley�s. If the two together earned $48.75, what was Shirley�s hourly rate?",15,20,25,30,15,GRE,Hard
245,"A bookstore stocks 1/5 of its books as fiction works, and 1/3 less than the fiction books as self-help books. What fraction of the total books are the fiction and self-help books?",5-Mar,30-Nov,15-Apr,3-Jan,3-Jan,GRE,Hard
246,"A square region has an area of b square inches and a perimeter of n inches. If n = what is the length, in inches, of the side of the square?",12,48,144,24,12,GRE,Hard
247,"A number x is 32% of a number y. If y is 20% of z, then, expressed in terms of x, z =",0.0064x,0.64x,6.4x,x/0.0064,x/0.0064,GRE,Hard
248,"S^2 > T^2, which of the following must be true?",S>T,S<T,|S|>|T|,ST<0,|S|>|T|,GRE,Hard
249,"Maribel must divide 60 candies among herself and her 12 cousins, although there is no requirement that the candies be divided equally. If Maribel is to have more candies than everyone else, what is the least number of candies she could have?",5,6,7,8,6,GRE,Hard
250,IF X>Y and XY!=0 Quantity A Quantity B X^2 /(Y+1/Y) Y^2 /(x+1/x),Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Hard
251,"To the nearest integer, the non-negative fourth root of integer n rounds to 3. Inclusive, n is between",0 and 1,2 and 3,40 and 150,4 and 9,40 and 150,GRE,Hard
252,m/p>n/p Quantity A =m Quantity B=n,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Hard
253,"A chemist is mixing a solution of acetone and water. She currently has 30 ounces mixed, 10 of which are acetone. How many ounces of acetone should she add to her current mixture to attain a 50/50 mixture of acetone and water if no additional water is added?",2.5,10,5,6,10,GRE,Hard
254,"By the end of July, a certain baseball team had played 80% of the total games to be played that season and had won 50% of those games. Of the remaining games for the season, the team won 60%. Quantity A = Percentage of total games won for the season Quantity B=52%",Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both are equal,GRE,Hard
255,"Two cities are 800 miles apart. At 3:00 p.m., Plane A leaves one city, traveling toward the other city at a speed of 600 miles per hour. At 4:00 the same afternoon, Plane B leaves the first city, traveling in the same direction at a rate of 800 miles per hour. Which of the following answers represents the actual result?","Plane A arrives first, by an hour or more.","Plane A arrives after Plane B, by an hour or more.",The two planes arrive at exactly the same time.,"Plane A arrives after Plane B, by less than an hour.","Plane A arrives after Plane B, by an hour or more.",GRE,Hard
256,3 numbers have a range of 2 and a median of 4.4 Quantity A The greatest of the numbers Quantity B= 5.4,Quantity A is greater,Quantity B is greater,Both are equal,Both A and B can be greater,Both A and B can be greater,GRE,Hard
257,How many 10-digit numbers can be formed using only the digits 2 and 5?,210,10!,200,20!,210,GRE,Hard
258,"The substitute French teacher accidentally walked into the wrong classroom, creating _________ situation when she began speaking French to 15 mystified physics students.",an odious,a potable,a risible,a cursory,a risible,GRE,Hard
259,"The beauty pageant contestant told the judges she wanted world peace, but her suggestion to bring about world peace was _________ �apparently, she naively thinks everyone could just be told to �love one another� and all the world�s disagreements would fade away.",convoluted,facile,dulcet,amicable,facile,GRE,Hard
260,"Introverts prefer a quiet, reflective lifestyle, whereas extroverts are more _________.",doctrinaire,convivial,jejune,modish,convivial,GRE,Hard
261,"The transformation of the NFL from a running-oriented game to a passing-oriented game demonstrates that, in any profession, when the _________ proves more successful than the time-honored, industry leaders will embrace the new with alacrity.",aerial,exciting,novel,conventiona;,novel,GRE,Hard
262,"The children�s story�seemingly a simple tale of animals gathering for a picnic in the forest�took _________ turn at the end, admonishing readers to always be honest.",a generous,a cynical,a didactic,an irate,a didactic,GRE,Hard
263,"We tried to call her over to where we were standing, down at the edge of the stage, but she couldn�t hear us over the ___________.",clamor,music,rabble,host,clamor,GRE,Hard
264,"The painter was just as famous for his personality as for his work; unlike the many pretentious and pontificating men in his field, he was known to be entirely __________.",shrewd,artless,klutzy,adroit,artless,GRE,Hard
265,"The newest romantic comedy wasn�t exactly bad, but simply _________; it had laughs, but they were all jokes you�d heard before.",atrocious,amusing,trite,witty,trite,GRE,Hard
266,An obsession with aesthetics ___________ all the work of the computer company; even their unsuccessful products manage to look like pieces of modernist sculpture.,underpins,irradiates,underserves,saturates,underpins,GRE,Hard
267,"Oftentimes, when administrators force teachers to cleave too closely to a federal curriculum, those teachers feel __________, because the mandatory curriculum curbs their sense of being creative and dynamic educators.",crushed,confounded,tormented,undermined,undermined,GRE,Hard
268,"The Fed knows that a certain level of financial stability can be attained by lowering interest rates, yet if it overuses this power, it risks losing its most reliable means of _________ a crisis.",assuaging,interring,exacerbating,compounding,assuaging,GRE,Hard
269,"Even though Mariposa loved taking on roles that involved a lot of lines, she was excited to be playing a more __________ character, which would require her to focus more on gesture and expression.",mute,dejected,dramatic,curt,curt,GRE,Hard
270,"Most physics textbooks are dense and abstruse, whereas Richard Feynman can describe the most recondite mysteries with impressive __________.",panache,lucidity,prowess,sagacity,lucidity,GRE,Hard
271,"The beauty queen�s mother could not believe her daughter had been disqualified for hitting one of the judges with her baton, and she would not be __________ by the official�s offer of a free steak dinner.",placated,pleased,mollified,deterred,mollified,GRE,Hard
272,"Though Hamlet is famous for being _________, he still manages to go on something of a killing spree in Shakespeare�s play, proving that he is hardly paralyzed with depression.",violent,morose,melancholy,indecisive,morose,GRE,Hard
273,The representative�s violent ascension to prominence began with a __________ attack on the comparatively conciliatory leaders of his own party.,biased,savage,imperious,partisan,savage,GRE,Hard
274,"A single short story can suggest a desired response from the reader. It is a difficult task, though, to create a world within a single short story and then repeat this world again in other stories while maintaining a consistent flow of ideas. Many authors prefer to use the same setting, indeed, often the same characters in each story. Isabel Allende�s Diez Cuentos� de Eva 5 Luna comes to mind. In these stories, Allende uses the small town of Agua Santa as the setting for the entire collection. Woman Hollering Creek is a collection of short stories by Sandra Cisneros. Rather than using the same characters or setting throughout the collection, Cisneros takes a different approach to relating her stories to one another. Much of the burden, in fact, is placed on 10 the reader, for the characters change each time, as does the setting. Furthermore, while the characters are largely Mexican American immigrant women, each character presents a distinct style and literary voice. What these works have in common is more intuitive; mood, circumstance, time, tone, and imagery all play a role in creating the world in which the stories take place. 63. The author of the passage would be most likely to agree with which of the following statements?",Short story collections depend on the reader to find the common thread that ties the stories together.,Isabel Allende uses the same setting for the majority of her fiction.,It is possible to create a coherent short story collection if the stories take place in vastly different times and places.,Intuition is a more important aspect of Sandra Cisneros�s writing than the characters or the setting.,It is possible to create a coherent short story collection if the stories take place in vastly different times and places.,GRE,Hard
275,"A single short story can suggest a desired response from the reader. It is a difficult task, though, to create a world within a single short story and then repeat this world again in other stories while maintaining a consistent flow of ideas. Many authors prefer to use the same setting, indeed, often the same characters in each story. Isabel Allende�s Diez Cuentos� de Eva 5 Luna comes to mind. In these stories, Allende uses the small town of Agua Santa as the setting for the entire collection. Woman Hollering Creek is a collection of short stories by Sandra Cisneros. Rather than using the same characters or setting throughout the collection, Cisneros takes a different approach to relating her stories to one another. Much of the burden, in fact, is placed on 10 the reader, for the characters change each time, as does the setting. Furthermore, while the characters are largely Mexican American immigrant women, each character presents a distinct style and literary voice. What these works have in common is more intuitive; mood, circumstance, time, tone, and imagery all play a role in creating the world in which the stories take place. 2)According to the passage, which of the following characterizes both short stories by Isabel Allende and short stories by Sandra Cisneros?",Similarities in tone,Similarities in time,Similarities in setting,none,none,GRE,Hard
276,"Scottish economist Adam Smith�s The Wealth of Nations heralded�or caused�the market-based economic system that has increasingly become the norm since the book�s publication in 1776. Some say that Smith�s magnum opus was to economics as Newton�s Principia Mathematica was to physics or as Darwin�s On the Origin of Species was for biology. 5 Certainly the book made its impact in the early United States. 1776 predates wide usage of the term capitalism, now commonly associated with Smith, and which Smith refers to as a �system of natural liberty.� Smith presented what we today consider Economics 101: supply and demand, and the importance of specialization and the division of labor. He also posited that individuals pursuing their own self-interest could 10 unintentionally create a more just society by so doing�an idea sometimes referred to as the �Invisible Hand.� Even Smith�s critics do not deny the book�s immense influence. Murray Rothbard levels the criticism that The Wealth of Nations, in fact, eclipsed public knowledge of all economists�better ones, he says� before Smith. Consider each of the answer choices separately and indicate all that apply. 65. Which of the following statements is not in contradiction with the opinions of Murray Rothbard as expressed in the passage?",Smith was possibly the third best economist of all time.,Adam Smith was not particularly influential.,The Wealth of Nations should not have been as influential as it was.,"A market in which there are more buyers than sellers, thus forcing the price of goods upwards.",Smith was possibly the third best economist of all time.,GRE,Hard
